"PSM.Score","rf"
181.855,"hs0041.raw"
234.4669,"hs0041.raw"
217.8612,"hs0041.raw"
189.9233,"hs0041.raw"
311.1174,"hs0041.raw"
239.7197,"hs0041.raw"
279.104,"hs0041.raw"
195.509,"hs0041.raw"
281.8702,"hs0041.raw"
350,"hs0041.raw"
198.5935,"hs0041.raw"
267.4813,"hs0041.raw"
202.2787,"hs0041.raw"
188.4567,"hs0041.raw"
281.301,"hs0041.raw"
231.7024,"hs0041.raw"
320.1609,"hs0041.raw"
262.0702,"hs0041.raw"
178.0586,"hs0041.raw"
147.6427,"hs0041.raw"
188.4567,"hs0041.raw"
328.348,"hs0041.raw"
150.466,"hs0041.raw"
350,"hs0041.raw"
244.2498,"hs0041.raw"
269.7565,"hs0041.raw"
262.7114,"hs0041.raw"
161.1145,"hs0041.raw"
145.2977,"hs0041.raw"
251.016,"hs0041.raw"
239.9965,"hs0041.raw"
200.2603,"hs0041.raw"
228.8423,"hs0041.raw"
232.634,"hs0041.raw"
147.6782,"hs0041.raw"
214.6838,"hs0041.raw"
255.652,"hs0041.raw"
287.0392,"hs0041.raw"
184.786,"hs0041.raw"
121.306,"hs0041.raw"
197.9075,"hs0041.raw"
298.6684,"hs0041.raw"
313.661,"hs0041.raw"
299.5142,"hs0041.raw"
249.0146,"hs0041.raw"
350,"hs0041.raw"
248.2071,"hs0041.raw"
266.7081,"hs0041.raw"
153.3837,"hs0041.raw"
337.5045,"hs0041.raw"
222.3261,"hs0041.raw"
182.149,"hs0041.raw"
287.542,"hs0041.raw"
218.2049,"hs0041.raw"
243.208,"hs0041.raw"
211.815,"hs0041.raw"
243.6369,"hs0041.raw"
170.1348,"hs0041.raw"
350,"hs0041.raw"
287.0392,"hs0041.raw"
276.7405,"hs0041.raw"
298.6684,"hs0041.raw"
111.2802,"hs0041.raw"
274.755,"hs0041.raw"
312.1092,"hs0041.raw"
218.1111,"hs0041.raw"
283.2375,"hs0041.raw"
218.5627,"hs0041.raw"
263.0005,"hs0041.raw"
298.6684,"hs0041.raw"
155.3672,"hs0041.raw"
171.0877,"hs0041.raw"
230.7205,"hs0041.raw"
191.0501,"hs0041.raw"
264.2641,"hs0041.raw"
214.138,"hs0041.raw"
231.8326,"hs0041.raw"
345.1658,"hs0041.raw"
193.7651,"hs0041.raw"
244.2498,"hs0041.raw"
245.6602,"hs0041.raw"
147.0712,"hs0041.raw"
245.0149,"hs0041.raw"
350,"hs0041.raw"
287.0392,"hs0041.raw"
182.1989,"hs0041.raw"
220.8865,"hs0041.raw"
225.0986,"hs0041.raw"
144.2955,"hs0041.raw"
231.6774,"hs0041.raw"
135.187,"hs0041.raw"
104.0985,"hs0041.raw"
191.0501,"hs0041.raw"
334.879,"hs0041.raw"
240.6919,"hs0041.raw"
334.7042,"hs0041.raw"
244.2306,"hs0041.raw"
314.1201,"hs0041.raw"
181.855,"hs0041.raw"
206.0913,"hs0041.raw"
213.1243,"hs0041.raw"
114.6554,"hs0041.raw"
254.5036,"hs0041.raw"
198.9117,"hs0041.raw"
213.1243,"hs0041.raw"
303.3717,"hs0041.raw"
287.1102,"hs0041.raw"
279.104,"hs0041.raw"
225.0986,"hs0041.raw"
268.6211,"hs0041.raw"
275.916,"hs0041.raw"
228.8565,"hs0041.raw"
263.0005,"hs0041.raw"
290.78,"hs0041.raw"
165.3341,"hs0041.raw"
195.509,"hs0041.raw"
263.0005,"hs0041.raw"
230.7205,"hs0041.raw"
311.5531,"hs0041.raw"
185.2052,"hs0041.raw"
211.8501,"hs0041.raw"
