"PSM.Score","rf"
226.2152,"hs0100.raw"
230.5442,"hs0100.raw"
243.0316,"hs0100.raw"
298.4566,"hs0100.raw"
227.53,"hs0100.raw"
79.35741,"hs0100.raw"
177.9176,"hs0100.raw"
150.2216,"hs0100.raw"
194.5696,"hs0100.raw"
214.8744,"hs0100.raw"
220.7101,"hs0100.raw"
238.3128,"hs0100.raw"
214.5075,"hs0100.raw"
302.3196,"hs0100.raw"
172.0281,"hs0100.raw"
266.2148,"hs0100.raw"
224.9049,"hs0100.raw"
328.7224,"hs0100.raw"
261.7467,"hs0100.raw"
169.0907,"hs0100.raw"
155.7134,"hs0100.raw"
266.2058,"hs0100.raw"
140.674,"hs0100.raw"
204.1243,"hs0100.raw"
131.3349,"hs0100.raw"
299.2849,"hs0100.raw"
116.9681,"hs0100.raw"
155.5181,"hs0100.raw"
312.1177,"hs0100.raw"
210.3955,"hs0100.raw"
238.3128,"hs0100.raw"
202.1201,"hs0100.raw"
238.3128,"hs0100.raw"
199.9141,"hs0100.raw"
195.3504,"hs0100.raw"
96.9767,"hs0100.raw"
248.0132,"hs0100.raw"
235.164,"hs0100.raw"
350,"hs0100.raw"
228.625,"hs0100.raw"
204.3278,"hs0100.raw"
182.0579,"hs0100.raw"
231.6387,"hs0100.raw"
97.59243,"hs0100.raw"
196.1326,"hs0100.raw"
280.8878,"hs0100.raw"
182.94,"hs0100.raw"
211.6914,"hs0100.raw"
307.6104,"hs0100.raw"
167.9382,"hs0100.raw"
174.2473,"hs0100.raw"
131.3349,"hs0100.raw"
171.115,"hs0100.raw"
328.1862,"hs0100.raw"
232.4577,"hs0100.raw"
184.6274,"hs0100.raw"
350,"hs0100.raw"
337.3954,"hs0100.raw"
350,"hs0100.raw"
214.0187,"hs0100.raw"
242.2858,"hs0100.raw"
218.761,"hs0100.raw"
183.3474,"hs0100.raw"
282.6916,"hs0100.raw"
210.8192,"hs0100.raw"
266.2058,"hs0100.raw"
176.834,"hs0100.raw"
182.0579,"hs0100.raw"
230.5442,"hs0100.raw"
110.4624,"hs0100.raw"
298.4566,"hs0100.raw"
112.1075,"hs0100.raw"
206.4643,"hs0100.raw"
93.35555,"hs0100.raw"
242.3691,"hs0100.raw"
200.4565,"hs0100.raw"
344.5262,"hs0100.raw"
348.1994,"hs0100.raw"
316.2502,"hs0100.raw"
138.4062,"hs0100.raw"
222.9418,"hs0100.raw"
211.6914,"hs0100.raw"
94.29836,"hs0100.raw"
259.8529,"hs0100.raw"
256.0161,"hs0100.raw"
334.5802,"hs0100.raw"
243.0316,"hs0100.raw"
159.8597,"hs0100.raw"
254.6902,"hs0100.raw"
